section,filename,function,address,end
init,entrypoint,func_10001000,0x10001000,0x10001050
init,init_1050,func_10001050,0x10001050,0x100010F8
init,init_1050,func_100010F8,0x100010F8,0x10001194
init,init_1050,func_10001194,0x10001194,0x10001420
init,init_1420,func_10001420,0x10001420,0x10001444
init,init_1420,func_10001444,0x10001444,0x100014A0
init,init_1420,func_100014A0,0x100014A0,0x100014C4
init,init_1420,func_100014C4,0x100014C4,0x10001550
init,init_1420,func_10001550,0x10001550,0x100019F0
init,init_1420,func_100019F0,0x100019F0,0x10001AA8
init,init_1420,func_10001AA8,0x10001AA8,0x10002070
init,init_2070,func_10002070,0x10002070,0x10002088
init,init_2070,func_10002088,0x10002088,0x100020D0
init,init_2070,func_100020D0,0x100020D0,0x10002718
init,init_2070,func_10002718,0x10002718,0x10002DB0
init,aisetnextbuf,osAiSetNextBuffer,0x10002DB0,0x10002E50
init,init_2E50,func_10002E50,0x10002E50,0x100030A0
init,pimgr,osCreatePiManager,0x100030A0,0x10003220
init,sptask,_VirtualToPhysicalTask,0x10003220,0x10003330
init,sptask,osSpTaskLoad,0x10003330,0x1000349C
init,sptask,osSpTaskStartGo,0x1000349C,0x100034E0
init,vimgr,osCreateViManager,0x100034E0,0x10003658
init,vimgr,viMgrMain,0x10003658,0x100037F0
init,createthread,osCreateThread,0x100037F0,0x100038C0
init,init_38C0,func_100038C0,0x100038C0,0x100038E0
init,init_38E0,func_100038E0,0x100038E0,0x1000390C
init,init_38E0,func_1000390C,0x1000390C,0x10003920
init,init_3920,func_10003920,0x10003920,0x10003930
init,init_3930,func_10003930,0x10003930,0x100039B0
init,init_39B0,func_100039B0,0x100039B0,0x100039C0
init,init_39C0,func_100039C0,0x100039C0,0x10003ACC
init,init_39C0,func_10003ACC,0x10003ACC,0x10003BD0
init,init_3BD0,func_10003BD0,0x10003BD0,0x10003C40
init,init_3C40,allocate_memory,0x10003C40,0x10003C6C
init,init_3C40,func_10003C6C,0x10003C6C,0x10004074
init,init_3C40,func_10004074,0x10004074,0x10004250
init,init_3C40,func_10004250,0x10004250,0x10004308
init,init_3C40,func_10004308,0x10004308,0x100043B4
init,init_3C40,func_100043B4,0x100043B4,0x1000440C
init,init_3C40,func_1000440C,0x1000440C,0x10004470
init,init_4470,func_10004470,0x10004470,0x10004514
init,init_4470,func_10004514,0x10004514,0x10004674
init,init_4470,func_10004674,0x10004674,0x100046E4
init,init_4470,func_100046E4,0x100046E4,0x1000480C
init,init_4470,func_1000480C,0x1000480C,0x100049E0
init,init_49E0,func_100049E0,0x100049E0,0x10004DB0
init,init_49E0,func_10004DB0,0x10004DB0,0x10004F00
init,init_49E0,func_10004F00,0x10004F00,0x10004FE0
init,init_49E0,func_10004FE0,0x10004FE0,0x10005020
init,init_49E0,func_10005020,0x10005020,0x100050A0
init,init_50A0,func_100050A0,0x100050A0,0x100051C8
init,init_50A0,func_100051C8,0x100051C8,0x100051E8
init,init_50A0,func_100051E8,0x100051E8,0x10005218
init,init_50A0,func_10005218,0x10005218,0x10005298
init,init_50A0,func_10005298,0x10005298,0x100052A0
init,init_50A0,func_100052A0,0x100052A0,0x10005570
init,motor,osMotorStop,0x10005570,0x100056A0
init,motor,osMotorStart,0x100056A0,0x100057E0
init,motor,_MakeMotorData,0x100057E0,0x10005948
init,motor,osMotorInit,0x10005948,0x10005AB0
init,init_5AB0,func_10005AB0,0x10005AB0,0x10005B04
init,init_5AB0,func_10005B04,0x10005B04,0x10005BE0
init,init_5AB0,func_10005BE0,0x10005BE0,0x10005C2C
init,init_5AB0,func_10005C2C,0x10005C2C,0x100061F8
init,init_5AB0,func_100061F8,0x100061F8,0x10006240
init,init_5AB0,func_10006240,0x10006240,0x1000625C
init,init_5AB0,func_1000625C,0x1000625C,0x1000632C
init,init_5AB0,func_1000632C,0x1000632C,0x10006380
init,init_5AB0,func_10006380,0x10006380,0x10006424
init,init_5AB0,func_10006424,0x10006424,0x10006828
init,init_5AB0,func_10006828,0x10006828,0x1000692C
init,init_5AB0,func_1000692C,0x1000692C,0x1000696C
init,init_5AB0,func_1000696C,0x1000696C,0x10006E00
init,init_5AB0,func_10006E00,0x10006E00,0x1000709C
init,init_5AB0,func_1000709C,0x1000709C,0x100071D0
init,init_5AB0,func_100071D0,0x100071D0,0x100077B8
init,init_5AB0,func_100077B8,0x100077B8,0x100079D8
init,init_5AB0,func_100079D8,0x100079D8,0x10007A24
init,init_5AB0,func_10007A24,0x10007A24,0x10007A38
init,init_5AB0,func_10007A38,0x10007A38,0x10007BF8
init,init_5AB0,__osCleanupThread,0x10007BF8,0x10007C74
init,init_5AB0,func_10007C74,0x10007C74,0x10007CC4
init,init_5AB0,func_10007CC4,0x10007CC4,0x10007D28
init,init_5AB0,func_10007D28,0x10007D28,0x10007DA0
init,init_5AB0,func_10007DA0,0x10007DA0,0x10007DAC
init,init_5AB0,func_10007DAC,0x10007DAC,0x10008120
init,maptlbrdb,osMapTLBRdb,0x10008120,0x10008180
init,init_8180,func_10008180,0x10008180,0x100084D8
init,init_8180,func_100084D8,0x100084D8,0x1000853C
init,init_8180,func_1000853C,0x1000853C,0x10008570
init,init_8180,func_10008570,0x10008570,0x100085A4
init,init_8180,func_100085A4,0x100085A4,0x100085B8
init,init_8180,func_100085B8,0x100085B8,0x100085F8
init,init_8180,func_100085F8,0x100085F8,0x1000862C
init,init_8180,func_1000862C,0x1000862C,0x10008660
init,init_8180,func_10008660,0x10008660,0x100086FC
init,init_8180,func_100086FC,0x100086FC,0x10008744
init,init_8180,func_10008744,0x10008744,0x10008790
init,init_8180,func_10008790,0x10008790,0x10008824
init,init_8180,func_10008824,0x10008824,0x1000886C
init,init_8180,func_1000886C,0x1000886C,0x100088F0
init,init_8180,func_100088F0,0x100088F0,0x10008988
init,init_8180,func_10008988,0x10008988,0x10008A4C
init,init_8180,func_10008A4C,0x10008A4C,0x10008A94
init,init_8180,func_10008A94,0x10008A94,0x10008B2C
init,init_8180,func_10008B2C,0x10008B2C,0x10008B60
init,init_8180,func_10008B60,0x10008B60,0x10008BC0
init,init_8180,func_10008BC0,0x10008BC0,0x10008C04
init,init_8180,func_10008C04,0x10008C04,0x10008C6C
init,init_8180,func_10008C6C,0x10008C6C,0x10008CE8
init,init_8180,func_10008CE8,0x10008CE8,0x10008EE0
init,init_8180,func_10008EE0,0x10008EE0,0x10008F24
init,init_8180,func_10008F24,0x10008F24,0x10008F58
init,init_8180,func_10008F58,0x10008F58,0x10008F90
init,init_8F90,func_10008F90,0x10008F90,0x100093CC
init,init_8F90,func_100093CC,0x100093CC,0x10009400
init,init_8F90,func_10009400,0x10009400,0x100095A0
init,init_8F90,func_100095A0,0x100095A0,0x100097CC
init,init_8F90,func_100097CC,0x100097CC,0x10009980
init,init_8F90,func_10009980,0x10009980,0x100099BC
init,init_8F90,func_100099BC,0x100099BC,0x10009B2C
init,init_8F90,func_10009B2C,0x10009B2C,0x10009B4C
init,init_8F90,func_10009B4C,0x10009B4C,0x10009B90
init,init_8F90,func_10009B90,0x10009B90,0x10009BE4
init,init_8F90,func_10009BE4,0x10009BE4,0x10009CBC
init,init_8F90,func_10009CBC,0x10009CBC,0x10009FFC
init,init_8F90,func_10009FFC,0x10009FFC,0x1000A03C
init,init_8F90,func_1000A03C,0x1000A03C,0x1000A348
init,init_8F90,func_1000A348,0x1000A348,0x1000A420
init,init_A420,func_1000A420,0x1000A420,0x1000A750
init,init_A420,func_1000A750,0x1000A750,0x1000B060
init,init_A420,func_1000B060,0x1000B060,0x1000B1B0
init,init_B1B0,func_1000B1B0,0x1000B1B0,0x1000B1FC
init,init_B1B0,func_1000B1FC,0x1000B1FC,0x1000B294
init,init_B1B0,func_1000B294,0x1000B294,0x1000B2F4
init,init_B1B0,func_1000B2F4,0x1000B2F4,0x1000B3D4
init,init_B1B0,func_1000B3D4,0x1000B3D4,0x1000B548
init,init_B1B0,func_1000B548,0x1000B548,0x1000B638
init,init_B1B0,func_1000B638,0x1000B638,0x1000B830
init,init_B1B0,func_1000B830,0x1000B830,0x1000B8B8
init,init_B1B0,func_1000B8B8,0x1000B8B8,0x1000BA18
init,init_B1B0,func_1000BA18,0x1000BA18,0x1000BAFC
init,init_B1B0,func_1000BAFC,0x1000BAFC,0x1000BBE8
init,init_B1B0,func_1000BBE8,0x1000BBE8,0x1000BC28
init,init_B1B0,func_1000BC28,0x1000BC28,0x1000BCBC
init,init_B1B0,func_1000BCBC,0x1000BCBC,0x1000BF60
init,init_B1B0,func_1000BF60,0x1000BF60,0x1000C350
init,init_B1B0,func_1000C350,0x1000C350,0x1000C530
init,init_B1B0,func_1000C530,0x1000C530,0x1000C7E8
init,init_B1B0,func_1000C7E8,0x1000C7E8,0x1000C934
init,init_B1B0,func_1000C934,0x1000C934,0x1000CA18
init,init_B1B0,func_1000CA18,0x1000CA18,0x1000CAE4
init,init_B1B0,func_1000CAE4,0x1000CAE4,0x1000CBA8
init,init_B1B0,func_1000CBA8,0x1000CBA8,0x1000CBF0
init,init_B1B0,func_1000CBF0,0x1000CBF0,0x1000CC54
init,init_B1B0,func_1000CC54,0x1000CC54,0x1000CD40
init,init_B1B0,func_1000CD40,0x1000CD40,0x1000CDA0
init,init_B1B0,func_1000CDA0,0x1000CDA0,0x1000CEAC
init,init_B1B0,func_1000CEAC,0x1000CEAC,0x1000D2F8
init,init_B1B0,func_1000D2F8,0x1000D2F8,0x1000D758
init,init_B1B0,func_1000D758,0x1000D758,0x1000D96C
init,init_B1B0,func_1000D96C,0x1000D96C,0x1000DE1C
init,init_B1B0,func_1000DE1C,0x1000DE1C,0x1000DEC4
init,init_B1B0,func_1000DEC4,0x1000DEC4,0x1000DF68
init,init_B1B0,func_1000DF68,0x1000DF68,0x1000E054
init,init_B1B0,func_1000E054,0x1000E054,0x1000E0F8
init,init_B1B0,func_1000E0F8,0x1000E0F8,0x1000E134
init,init_B1B0,func_1000E134,0x1000E134,0x1000E17C
init,init_B1B0,func_1000E17C,0x1000E17C,0x1000E2F4
init,init_B1B0,func_1000E2F4,0x1000E2F4,0x1000E40C
init,init_B1B0,func_1000E40C,0x1000E40C,0x1000E46C
init,init_B1B0,func_1000E46C,0x1000E46C,0x1000E588
init,init_B1B0,func_1000E588,0x1000E588,0x1000E654
init,init_B1B0,func_1000E654,0x1000E654,0x1000E704
init,init_B1B0,func_1000E704,0x1000E704,0x1000E75C
init,init_B1B0,func_1000E75C,0x1000E75C,0x1000E770
init,init_B1B0,func_1000E770,0x1000E770,0x1000E7A0
init,init_B1B0,func_1000E7A0,0x1000E7A0,0x1000E8C4
init,init_B1B0,func_1000E8C4,0x1000E8C4,0x1000E8F0
init,init_B1B0,func_1000E8F0,0x1000E8F0,0x1000E934
init,init_B1B0,func_1000E934,0x1000E934,0x1000EA94
init,init_B1B0,func_1000EA94,0x1000EA94,0x1000EB00
init,init_EB00,func_1000EB00,0x1000EB00,0x1000EBC4
init,init_EB00,func_1000EBC4,0x1000EBC4,0x1000EC24
init,init_EB00,func_1000EC24,0x1000EC24,0x1000ECCC
init,init_EB00,func_1000ECCC,0x1000ECCC,0x1000EDA0
init,init_EB00,func_1000EDA0,0x1000EDA0,0x1000EE70
init,init_EB00,func_1000EE70,0x1000EE70,0x1000EF40
init,init_EB00,func_1000EF40,0x1000EF40,0x1000EFB4
init,init_EB00,func_1000EFB4,0x1000EFB4,0x1000F1A8
init,init_EB00,func_1000F1A8,0x1000F1A8,0x1000F248
init,init_EB00,func_1000F248,0x1000F248,0x1000F3D0
init,init_EB00,func_1000F3D0,0x1000F3D0,0x1000F44C
init,init_EB00,func_1000F44C,0x1000F44C,0x1000F4D8
init,init_EB00,func_1000F4D8,0x1000F4D8,0x1000F568
init,init_EB00,func_1000F568,0x1000F568,0x1000F6B8
init,init_EB00,func_1000F6B8,0x1000F6B8,0x1000F85C
init,init_EB00,func_1000F85C,0x1000F85C,0x1000F91C
init,init_EB00,func_1000F91C,0x1000F91C,0x1000F9D4
init,init_EB00,func_1000F9D4,0x1000F9D4,0x1000FA64
init,init_EB00,func_1000FA64,0x1000FA64,0x1000FC18
init,init_EB00,func_1000FC18,0x1000FC18,0x1000FD38
init,init_EB00,func_1000FD38,0x1000FD38,0x1000FDF4
init,init_EB00,func_1000FDF4,0x1000FDF4,0x1000FE88
init,init_EB00,func_1000FE88,0x1000FE88,0x1000FEF0
init,init_EB00,func_1000FEF0,0x1000FEF0,0x1000FF90
init,init_EB00,func_1000FF90,0x1000FF90,0x1001001C
init,init_EB00,func_1001001C,0x1001001C,0x100100E0
init,init_EB00,func_100100E0,0x100100E0,0x10010154
init,init_EB00,func_10010154,0x10010154,0x10010344
init,init_EB00,func_10010344,0x10010344,0x10010558
init,init_EB00,func_10010558,0x10010558,0x10010630
init,init_EB00,func_10010630,0x10010630,0x10010720
init,init_EB00,func_10010720,0x10010720,0x100107F8
init,init_EB00,func_100107F8,0x100107F8,0x10010894
init,init_EB00,func_10010894,0x10010894,0x1001091C
init,init_EB00,func_1001091C,0x1001091C,0x100109D0
init,init_EB00,func_100109D0,0x100109D0,0x10010A3C
init,init_EB00,func_10010A3C,0x10010A3C,0x10010AA8
init,init_EB00,func_10010AA8,0x10010AA8,0x10010BE8
init,init_EB00,func_10010BE8,0x10010BE8,0x10010E78
init,init_EB00,func_10010E78,0x10010E78,0x10010F30
init,init_EB00,func_10010F30,0x10010F30,0x10010F88
init,init_EB00,func_10010F88,0x10010F88,0x10010FFC
init,init_EB00,func_10010FFC,0x10010FFC,0x100111C8
init,init_EB00,func_100111C8,0x100111C8,0x1001123C
init,init_EB00,func_1001123C,0x1001123C,0x100112BC
init,init_EB00,func_100112BC,0x100112BC,0x10011310
init,init_EB00,func_10011310,0x10011310,0x1001147C
init,init_EB00,func_1001147C,0x1001147C,0x100114D0
init,init_EB00,func_100114D0,0x100114D0,0x10011624
init,init_EB00,func_10011624,0x10011624,0x10011BB8
init,init_EB00,func_10011BB8,0x10011BB8,0x10011E88
init,init_EB00,func_10011E88,0x10011E88,0x10011E94
init,init_EB00,func_10011E94,0x10011E94,0x10011EB8
init,init_EB00,func_10011EB8,0x10011EB8,0x10011FA0
init,init_11FA0,func_10011FA0,0x10011FA0,0x10011FB0
init,init_11FA0,func_10011FB0,0x10011FB0,0x10011FDC
init,init_11FA0,func_10011FDC,0x10011FDC,0x10011FEC
init,init_11FA0,func_10011FEC,0x10011FEC,0x10012020
init,init_11FA0,func_10012020,0x10012020,0x10012560
init,init_12560,func_10012560,0x10012560,0x10012588
init,init_12560,func_10012588,0x10012588,0x100125CC
init,init_12560,func_100125CC,0x100125CC,0x1001263C
init,init_12560,func_1001263C,0x1001263C,0x100126E8
init,init_12560,func_100126E8,0x100126E8,0x10012718
init,init_12560,func_10012718,0x10012718,0x100127D0
init,init_12560,func_100127D0,0x100127D0,0x10012820
init,heap,alHeapInit,0x10012820,0x10012844
init,heap,alHeapDBAlloc,0x10012844,0x100128D0
init,init_128D0,alSeqFileNew,0x100128D0,0x10012934
init,init_128D0,func_10012934,0x10012934,0x10012A28
init,init_128D0,func_10012A28,0x10012A28,0x10012B84
init,init_128D0,func_10012B84,0x10012B84,0x10012BD0
init,init_128D0,func_10012BD0,0x10012BD0,0x10012C5C
init,init_128D0,func_10012C5C,0x10012C5C,0x10012CFC
init,init_128D0,func_10012CFC,0x10012CFC,0x10012D80
init,init_128D0,func_10012D80,0x10012D80,0x10012E04
init,init_128D0,func_10012E04,0x10012E04,0x10012F94
init,init_128D0,func_10012F94,0x10012F94,0x100131D8
init,init_128D0,func_100131D8,0x100131D8,0x100131FC
init,init_128D0,func_100131FC,0x100131FC,0x10013320
init,n_csplayer,n_alCSPNew,0x10013320,0x10013598
init,n_csplayer,__n_CSPVoiceHandler,0x10013598,0x10014048
init,n_csplayer,__n_CSPHandleNextSeqEvent,0x10014048,0x1001415C
init,n_csplayer,__n_CSPHandleMIDIMsg,0x1001415C,0x10015310
init,n_csplayer,__n_CSPRepostEvent,0x10015310,0x10015464
init,n_csplayer,__n_setUsptFromTempo,0x10015464,0x100154AC
init,n_csplayer,__n_CSPPostNextSeqEvent,0x100154AC,0x10015550
init,init_15550,func_10015550,0x10015550,0x100155A0
init,init_15550,func_100155A0,0x100155A0,0x10015878
init,init_15550,func_10015878,0x10015878,0x10015944
init,init_15550,_n_handleEvent,0x10015944,0x10016E90
init,init_15550,func_10016E90,0x10016E90,0x10016F00
init,init_15550,func_10016F00,0x10016F00,0x10016F80
init,init_15550,func_10016F80,0x10016F80,0x10017100
init,init_15550,func_10017100,0x10017100,0x10017298
